Bin ID	classification
3300050821_2077	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2593	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2601	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2631	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2668	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2732	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2991	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_35	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_554	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_923	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Koribacteraceae|g__Sulfotelmatobacter
3300050821_2503	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__QIAW01|g__QIAW01
3300050821_1452	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__QIAW01|g__QIAW01
3300050821_1429	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__
3300050821_1536	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__
3300050821_1772	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__
3300050821_2604	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__
3300050821_1111	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234
3300050821_15	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__BOG-234
3300050821_1001	d__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Bryobacterales|f__Bryobacteraceae|g__Palsa-187
